store_phone,store_address,city,state,zip,store_email,sources_count,source1,source2,source3,source4,source5,source6,names_count,store_name,second_store_name,name3,name4,name5,name6,name7,name8,owners_count,owner_first_name1,owner_last_name1,owner_first_name2,owner_last_name2,other_emails_count,owner_email,other_owner_emails,websites_count,website,consolidated,fabrica,floorscapes,johanna,karastan,masland,mohawk,naics,wfca
(360) 354-4480,1843 FRONT STREET,LYNDEN,WA,98264,,1,mohawk,,,,,,1,RALPHS FLOORS,,,,,,,,0,,,,,0,,,1,http://www.ralphsfloors.com/,,,,,,,X,,
(910) 424-0173,,FAYETTEVILLE,NC,,N/A,2,consolidated,johanna,,,,,2,CAROLINA CARPET,CAROLINA CARPET,,,,,,,2,Deanna,Alexander,Deanna,Alexander,0,,,1,http://www.carolinacarpetfloors.com/,X,,,X,,,,,
(662) 287-9430,,CORINTH,MS,,N/A,2,consolidated,johanna,,,,,2,LESLEY'S CARPETS,LESLEY'S CARPETS,,,,,,,2,Leslie,Raines,Leslie,Raines,0,,,1,http://www.lesleysfloordesigns.com/,X,,,X,,,,,
(989) 893-3531,,BAY CITY,MI,,N/A,2,consolidated,johanna,,,,,2,GREGOIRE & DODICK ENTERPRISES,GREGOIRE & DODICK ENTERPRISES,,,,,,,2,Tony,Dodick,Tony,Dodick,0,,,1,http://www.mohawkflooring.com/,X,,,X,,,,,
(317) 781-8280,,INDIANAPOLIS,IN,,ReardonsCarpet@aol.com,2,consolidated,johanna,,,,,2,REARDONS CARPET CO INC,REARDONS CARPET CO INC,,,,,,,0,,,,,0,,,1,www.reardonscarpets.com,X,,,X,,,,,
(815) 933-1153,,BOURBONNAIS,IL,,N/A,2,consolidated,johanna,,,,,2,CARPET WEAVERS INC,CARPET WEAVERS INC,,,,,,,2,Mark,Weaver,Mark,Weaver,0,,,1,www.carpetweaversflooring.com,X,,,X,,,,,
(256) 891-2777,,ALBERTVILLE,AL,,N/A,2,consolidated,johanna,,,,,2,CARPET STORE THE,CARPET STORE THE,,,,,,,2,Ken,Mozley,Ken,Mozley,0,,,1,http://www.mosleyflooring.com/,X,,,X,,,,,
(256) 543-8330,,GADSDEN,AL,,taylormholland@hotmail.com,2,consolidated,johanna,,,,,2,ALLEYS CARPET OF GADSDEN,ALLEYS CARPET OF GADSDEN,,,,,,,2,Lee,Alley,Lee,Alley,0,,,1,http://www.alleyscarpet.com,X,,,X,,,,,
(816) 524-0255,,LEES SUMMIT,MO,,N/A,2,consolidated,johanna,,,,,2,JE CONCEPTS,JE CONCEPTS,,,,,,,0,,,,,0,,,1,www.jeconcepts.net/,X,,,X,,,,,
(256) 536-4479,,HUNTSVILLE,AL,,N/A,2,consolidated,johanna,,,,,2,HUNTSVILLE DECORATING,HUNTSVILLE DECORATING,,,,,,,2,Terry,Campbell,Terry,Campbell,0,,,1,http://www.huntsvilledecorating.net/sb.cn,X,,,X,,,,,
(805) 481-5559,,OCEANO,CA,,N/A,2,consolidated,johanna,,,,,2,CAL COAST CARPET WAREHOUSE,CAL COAST CARPET WAREHOUSE,,,,,,,0,,,,,0,,,1,http://www.calcoastcarpet.net/,X,,,X,,,,,
(260) 824-5440,,BLUFFTON,IN,,cjsflooring@adamswells.com,2,consolidated,johanna,,,,,2,C JS FLOORING INC,C JS FLOORING INC,,,,,,,0,,,,,0,,,1,http://www.cjsflooring.com/,X,,,X,,,,,
(805) 646-6244,118 BRYANT STREET,OJAI,CA,93023,,1,mohawk,,,,,,1,CHISUMS FLOOR COVERING,,,,,,,,0,,,,,0,,,1,http://www.chisumsfloorcovering.com/,,,,,,,X,,
(731) 498-8816,13395 HIGHWAY 641 N,PURYEAR,TN,38251,,1,mohawk,,,,,,1,CARPET WORLD USA,,,,,,,,1,CYNTHIA,OWENS,,,0,,,1,http://www.carpetworldusa.net,,,,,,,X,,
(813) 949-9428,US 41 NORTH,LUTZ,FL,33549,,1,mohawk,,,,,,1,E & W CARPETS INC,,,,,,,,0,,,,,0,,,1,http://www.ewcarpets.com/,,,,,,,X,,
(210) 333-3575,DISCOUNT CPT WAREHOUSE,SAN ANTONIO,TX,78222,,1,mohawk,,,,,,1,DUNN PETER ENT INC,,,,,,,,0,,,,,0,,,1,www.spoke.com,,,,,,,X,,
(248) 628-8114,785 S LAPEER RD,OXFORD,MI,48371-5038,,1,mohawk,,,,,,1,CURTIS FLOOR COVERING,,,,,,,,1,KEITH,CURTIS,,,0,,,1,http://curtisfloorcovering.com/,,,,,,,X,,
(843) 756-6151,3959 MAIN STREET,LORIS,SC,29569,,1,mohawk,,,,,,1,W F COX COMPANY,,,,,,,,1,STEVE,COX,,,0,,,1,http://www.wfcox.com/,,,,,,,X,,
(218) 786-6060,2501 W SUPERIOR ST,DULUTH,MN,55806,,1,mohawk,,,,,,1,MAGIC CARPET MART,,,,,,,,0,,,,,0,,,1,http://www.yelp.com/biz/magic-carpet-mart-duluth,,,,,,,X,,
(724) 532-2198,314 LINDEN ST,LATROBE,PA,15650,,1,mohawk,,,,,,1,RUSBOSIN FURNITURE,,,,,,,,0,,,,,0,,,1,http://rusbosinfurniture.com/,,,,,,,X,,
(805) 962-2078,723 E HALEY ST,SANTA BARBARA,CA,93103,,1,mohawk,,,,,,1,FANCY FLOORS COLOR CENTER,,,,,,,,1,TIM,MARQUEZ,,,0,,,1,http://www.fancyfloorssb.com,,,,,,,X,,
(503) 829-9600,PO BOX 740,MOLALLA,OR,97038,,1,mohawk,,,,,,1,KEY CARPETS LLC,,,,,,,,1,MARY,JACOB,,,0,,,1,http://keycarpetsllc.com/,,,,,,,X,,
(914) 939-9438,12 BOWMAN AVE,RYE BROOK,NY,10573,,1,mohawk,,,,,,1,PORT CHESTER RUG&LINO INC,,,,,,,,1,EILEEN,KIYAK,,,0,,,1,http://www.pcrug.com/,,,,,,,X,,
(318) 255-5358,PO BOX 741,RUSTON,LA,71270,,1,mohawk,,,,,,1,BUILDERS SUPPLY OF RUSTON INC,,,,,,,,0,,,,,0,,,1,http://www.bs.doitbest.com/home.aspx,,,,,,,X,,
(760) 200-5542,77-844 LAS MONTANAS RD.,PALM DESERT,CA,92211,,3,consolidated,johanna,fabrica,,,,6,C & C FLOORING, INC.,C & C FLOORING, INC.,C & C FLOORING, INC.,,,2,Steve,Jordan,Steve,Jordan,0,,,1,http://www.ccflooring.us/,X,X,,X,,,,,
(509) 457-7888,DBA INTERIORS BY MODERN DESIGN,YAKIMA,WA,98902,,1,mohawk,,,,,,1,JBS MILLWORK,,,,,,,,1,JEFF,WELLS,,,0,,,1,http://interiorsbymoderndesign.com/,,,,,,,X,,
(830) 569-9568,1202 W OAKLAWN RD,PLEASANTON,TX,78064,,1,mohawk,,,,,,1,RC FLOORING,,,,,,,,0,,,,,0,,,1,www.rcflooringinc.com,,,,,,,X,,
(561) 998-8080,1000 CLINT MOORE RD. STE 101,BOCA RATON,FL,33487,,1,fabrica,,,,,,1,THE CARPET CONNECTION INC.,,,,,,,,0,,,,,0,,,1,www.merchantcircle.com/business/The.Carpet.Connection.561-998-8080,,X,,,,,,,
(513) 346-4304,9097 UNION CENTER BLVD,WESTCHESTER,OH,45069,,1,fabrica,,,,,,2,J.P. FLOORING SYSTEMS, INC.,,,,,,,0,,,,,0,,,1,http://www.jpflooring.com,,X,,,,,,,
(913) 362-9829,3015 MERRIAM LANE,KANSAS CITY,KS,66101,,1,fabrica,,,,,,1,RIGDON FLOOR COVERINGS INC,,,,,,,,0,,,,,0,,,1,http://www.facebook.com/pages/Rigdon-Floor-Coverings/157351327638319,,X,,,,,,,
(432) 337-2303,800 E 8TH,ODESSA,TX,79761,,1,fabrica,,,,,,1,PINNER CARPETS,,,,,,,,0,,,,,0,,,1,http://www.facebook.com/pages/Pinner-Carpets/122215244501856,,X,,,,,,,
(503) 235-1235,1235 S E GRAND AVE,PORTLAND,OR,97214,,1,fabrica,,,,,,1,SURFACE WORKS LLC,,,,,,,,0,,,,,0,,,1,http://www.manta.com/c/mw2mhnd/surface-works-llc,,X,,,,,,,
(626) 445-2878,22 LA PORTE ST,ARCADIA,CA,91006,,1,fabrica,,,,,,1,LOVELY CARPET INC,,,,,,,,0,,,,,0,,,1,www.manta.com/c/mm37q2k/lovely-carpet-inc,,X,,,,,,,
(760) 345-0324,44-455 TOWN CENTER WAY,PALM DESERT,CA,92260-2729,,1,fabrica,,,,,,1,JLP FLOORING INC,,,,,,,,0,,,,,0,,,1,http://www.la.bbb.org/business-reviews/Flooring-Contractors/JLP-Flooring-Inc-in-Palm-Desert-CA-13195388,,X,,,,,,,
(843) 626-6322,1917 10TH AVE NORTH,MYRTLE BEACH,SC,29577-5652,,1,floorscapes,,,,,,1,GRAND STRAND FLOORS INC,,,,,,,,0,,,,,0,,,1,http://www.grandstrandfloors.com/,,,X,,,,,,
(703) 968-8649,SWINEA GARY,CHANTILLY,VA,20151-1691,,1,floorscapes,,,,,,1,NIC/LOR FLOORS,,,,,,,,0,,,,,0,,,1,http://www.nic-lorfloors.com/,,,X,,,,,,
(651) 739-9710,451 COMMERCE DR STE 100,WOODBURY,MN,55125,,1,floorscapes,,,,,,1,FANTASTIC FLOORS INC,,,,,,,,0,,,,,0,,,1,http://www.fantafloors.net/,,,X,,,,,,
(206) 783-3545,PO BOX 70524,SEATTLE,WA,98107,,1,floorscapes,,,,,,1,NIELSEN BROS & SONS INC,,,,,,,,0,,,,,0,,,1,http://www.nbfloors.com/,,,X,,,,,,
(432) 697-7228,5206 W WADLEY AVE,MIDLAND,TX,79707,,1,floorscapes,,,,,,1,MID TEX OF MIDLAND INC,,,,,,,,0,,,,,0,,,1,www.midtexofmidland.com,,,X,,,,,,
(845) 565-5200,1 DALFONSO RD,NEWBURGH,NY,12550,,1,floorscapes,,,,,,1,AFFORDABLE FLRS OF NY INC,,,,,,,,0,,,,,0,,,1,http://www.affordable-floors.com/,,,X,,,,,,
(770) 251-1063,7 JEFFERSON PKWY,NEWNAN,GA,30263,,1,floorscapes,,,,,,1,DALTON WEST OF NEWNAN INC,,,,,,,,0,,,,,0,,,1,http://www.daltonwest.com,,,X,,,,,,
(614) 261-1606,3949 BUSINESS PARK DR,COLUMBUS,OH,43204,,1,floorscapes,,,,,,1,RITE RUG CO INC,,,,,,,,0,,,,,0,,,1,http://www.riterug.com/,,,X,,,,,,
